SegmentID,Gene
seg4,C22orf23
seg4,MAFF
seg4,TMEM184B
seg4,SGSM3
seg4,BIK
seg4,SUN2
seg4,TMPRSS6
seg4,UPK3A
seg4,POLDIP3
seg4,ANKRD54
seg4,GGA1
seg4,DMC1
seg4,ISX
seg4,NAGA
seg4,TEF
seg4,EIF3D
seg4,APOL6
seg4,A4GALT
seg4,SSTR3
seg4,ARFGAP3
seg4,GTPBP1
seg4,ATF4
seg4,APOBEC3G
seg4,TTC38
seg4,ST13
seg4,RABL2B
seg4,CDPF1
seg4,RANGAP1
seg4,MIEF1
seg4,TRMU
seg4,ARSA
seg4,PHETA2
seg4,CYP2D6
seg4,DNAL4
seg4,CCDC134
seg4,PARVG
seg4,PIM3
seg4,CYB5R3
seg4,PPP6R2
seg4,SBF1
seg4,CSNK1E
seg4,ALG12
seg4,CRELD2
seg4,SYNGR1
seg4,SERHL2
seg4,MFNG
seg4,NFAM1
seg4,ADSL
seg4,L3MBTL2
seg4,GRAMD4
seg4,XRCC6
seg4,TYMP
seg4,EFCAB6
seg4,PACSIN2
seg4,RPL3
seg4,PDGFB
seg4,TSPO
seg4,"MCAT"""
seg4,ACH-000898
seg5,RPS10P30
seg5,OSM
seg5,ZNRF3-IT1
seg5,NCF4
seg5,ACO2P1
seg5,CACNA1I
seg5,LIF-AS2
seg5,ENTHD1
seg5,LIF
seg5,MRPS18CP6
seg5,COX5BP7
seg5,TRIOBP
seg5,MTFR2P2
seg5,GTSE1-DT
seg5,RTL6
seg5,RPL35AP36
seg5,PKDREJ
seg5,LINC02556
seg5,FUNDC2P4
seg5,SKP1P4
seg5,YES1P1
seg5,SHISAL1
seg5,SCUBE1-AS1
seg5,RNA5SP494
seg5,RNU6-1066P
seg5,RN7SKP169
seg5,MIR5739
seg5,SNORD83A
seg5,MIR6821
seg5,SNORD83B
seg5,SNORD43
seg5,MIR4535
seg5,MIR3201
seg5,RN7SKP214
seg5,IGLCOR22-1
seg5,SLC5A4-AS1
seg5,CPSF1P1
seg5,RFPL3
seg5,IGLCOR22-2
seg5,IGLVIVOR22-2
seg5,RGL4P1
seg5,RN7SL305P
seg5,RPS3AP55
seg5,MIR548J
seg5,CRYBA4
seg5,RPL39P41
seg5,RPS10P29
seg5,SPECC1L-ADORA2A
seg5,ARL5AP4
seg5,ACTR2P1
seg5,CRIP1P4
seg5,MYO18B
seg5,RPL7P52
seg5,COX6B1P3
seg5,RPL4P6
seg5,MIR3200
seg5,EIF4HP2
seg5,PPP1R26P4
seg5,E2F6P1
seg5,CELSR1P1
seg5,DGCR11
seg5,RPL28P6
seg5,APOBEC3B
seg5,DNAJA1P6
seg5,MIR3198-1
seg5,MICAL3
seg5,MIR648
seg5,RHEBP3
seg5,ARL2BPP10
seg5,ACR
seg5,SNRPA1P2
seg5,MIR4764
seg5,SNORA50B
seg5,LARGE-IT1
seg5,FAM136EP
seg5,CELSR1
seg5,PARVB
seg5,RN7SKP221
seg5,RNU6-495P
seg5,SNU13
seg5,RNU6-476P
seg5,HMGN2P10
seg5,RNU6ATAC22P
seg5,RN7SL162P
seg5,RPL8P5
seg5,MIR4761
seg5,MIR185
seg5,MIR3618
seg5,MIR1306
seg5,MIR6816
seg5,SNORA77B
seg5,CCDC188
seg5,KRT18P62
seg5,RN7SL168P
seg5,RPL7AP70
seg5,RTN4R
seg5,MIR1286
seg5,PRODHLP
seg5,TXNRD2
seg5,PANX2
seg5,MIR33A
seg5,MIR378I
seg5,SNORD13P1
seg5,RNU7-167P
seg5,MIR3909
seg5,MIR6069
seg5,HMOX1
seg5,CACNG2
seg5,SLC5A4
seg5,APOBEC3H
seg5,CIMIP4
seg5,RNU6-900P
seg5,MIR6820
seg5,MIR4534
seg5,CCDC116
seg5,MIR301B
seg5,MIR130B
seg5,PPIL2
seg5,YPEL1
seg5,RN7SL280P
seg5,RNU6-225P
seg5,KLHL12P1
seg5,RNY1P9
seg5,RN7SL812P
seg5,KRT18P5
seg5,GSTT3P
seg5,RNU6-810P
seg5,RNU6-1219P
seg5,SNORD125
seg5,NEFH
seg5,RPEP4
seg5,SEC14L2
seg5,RNU6-564P
seg5,SLC39A1P1
seg5,SDC4P
seg5,SIRPAP1
seg5,PES1-AS1
seg5,RN7SL268P
seg5,KLHL5P1
seg5,RPS29P31
seg5,PRDX3P1
seg5,TSSK2
seg5,GSC2
seg5,GGTLC5P
seg5,PPP1R26P3
seg5,ATP5PFP2
seg5,RSPH14
seg5,BCRP8
seg5,RN7SL263P
seg5,FBXW4P1
seg5,MIR658
seg5,MIR659
seg5,EIF3L
seg5,PHF10P2
seg5,IGLVIVOR22-1
seg5,MIR6817
seg5,MIR649
seg5,TUBA3GP
seg5,TCF20
seg5,MTCO1P20
seg5,MTCO2P20
seg5,MTATP6P20
seg5,MTCO3P20
seg5,MTCYBP34
seg5,MTND1P10
seg5,TERF2IPP1
seg5,CLCP1
seg5,SYCE3
seg5,CHKB-CPT1B
seg5,TMEM191C
seg5,H1-0
seg5,CLDN5
seg5,FAM227A
seg5,RIMBP3C
seg5,C22orf31
seg5,RNA5SP493
seg5,MPPE1P2
seg5,PPM1F
seg5,IGLVI-70
seg5,IGLV4-69
seg5,IGLVI-68
seg5,IGLV10-54
seg5,IGLV10-67
